Id,21853 
Description,Imported PO on 2024 September 10 60106379 
Supplier Invoice Number,60106379 
Vendor Name,AGLC 
Payment Due Date,9/10/2024 2:00:00 AM 
Date Expected,9/10/2024 2:00:00 AM 
Subtotal,34429.30 
Shipping,200.00 
Recycle Fee,0.60 
Deposit Amount,6.00 
GST,1721.46
Total,36357.36


Sku,Name,PackageReference,Category,Subcategory,OrderedQty,CurrentQty,UnitCost,Total
701127,IND Fatty Patty Chocolate Covered Cookies & Cream Hybrid 17 g - No Future,CRD001,Edibles,Chocolates,24.000,24.000,2.99,71.76
103577,GB Gluerangutan PR 7 x 0.5 g Hybrid 3.5 g - Good Buds,PRGRT032,Pre-Rolls,Joints,12.000,12.000,13.97,167.64
105290,FRE The Drifter PR 3 x 0.5 g Sativa 1.5 g - Freedom Cannabis,3263,Pre-Rolls,Joints,12.000,12.000,6.36,76.32
109674,CIG Mellow Man PR 10 x 0.35 g Indica 3.5 g - Figr,261241034,Pre-Rolls,Joints,12.000,12.000,16.79,201.48
107802,ADL 20 Piece PR 20 x 0.5 g Indica 10 g - Endgame,P240812PR01,Pre-Rolls,Joints,6.000,6.000,35.01,210.06
110391,OLL Berry Blonde PR 6 x 0.5 g Sativa 3 g - El Blunto,JBM004,Pre-Rolls,Blunts,12.000,12.000,27.56,330.72
108145,EMB Roll Up PR 1 x 0.5 g Sativa 0.5 g - Divvy,6405,Pre-Rolls,Joints,24.000,24.000,3.14,75.36
108512,EMB Roll Up PR 1 x 0.5 g Indica 0.5 g - Divvy,6421,Pre-Rolls,Joints,24.000,24.000,3.14,75.36
109623,EMB Blueberry PR 12 x 0.35 g Indica 4.2 g - Divvy,6225,Pre-Rolls,Joints,12.000,12.000,18.20,218.40
105318,MER Ethos Glue PR 10 x 0.5 g Hybrid 5 g - Countryside Cannabis,PR110901A,Pre-Rolls,Joints,36.000,36.000,20.99,755.64
103093,ETB Mango Haze PR 10 x 0.35 g Sativa 3.5 g - Color Cannabis,L240800118,Pre-Rolls,Joints,18.000,18.000,14.58,262.44
107021,AUG Panda Puff PR 10 x 0.35 g Indica 3.5 g - Back Forty,30503050-01,Pre-Rolls,Straight Roll Joints,12.000,12.000,14.83,177.96
104715,AUG Mandarin Cookies PR 10 x 0.35 g Sativa 3.5 g - Back Forty,10404760-01,Pre-Rolls,Straight Roll Joints,24.000,24.000,14.83,355.92
109993,AUG Liquid Imagination PR 3 x 0.75 g Hybrid 2.25 g - Back Forty,10500020-03,Pre-Rolls,Straight Roll Joints,12.000,12.000,11.19,134.28
107059,AUG Banana OG PR 10 x 0.35 g Sativa 3.5 g - Back Forty,30503850-01,Pre-Rolls,Straight Roll Joints,12.000,12.000,14.83,177.96
100687,TIL Jean Guy PR 1 x 1 g Sativa 1 g - Good Supply,3101733560,Pre-Rolls,Joints,48.000,48.000,4.90,235.20
201831,DEC Razzilicious Blinker Vape Pod Hybrid 0.95 g - General Admission,24060000405,Vapes,Pod Systems,6.000,6.000,22.25,133.50
201317,AYC Jungle Fruit Vape Cartridge Indica 1 g - XPLOR,24070000994,Vapes,510 Carts,24.000,24.000,16.96,407.04
201650,CBT Triple Burger Live Resin Vape Cartridge Indica 1 g - Tribal,6024083P5,Vapes,Live Resin Carts,12.000,12.000,31.49,377.88
201563,CRO Peach Punch Vape Cartridge Hybrid 1.2 g - Spinach,FA01664,Vapes,510 Carts,12.000,12.000,23.44,281.28
200872,CRO Spinach Blueberry Dynamite Vape Cartridge Indica 1 g - Spinach,FA01674,Vapes,510 Carts,12.000,12.000,21.20,254.40
202049,CZI Dia De Los Muertos Vape Cartridge Indica 1 g - Sheeesh!,L24206L,Vapes,510 Carts,12.000,12.000,19.61,235.32
202065,BZA Squish'D Berry Vape Cartridge Hybrid 1 g - Ness,006713,Vapes,510 Carts,12.000,12.000,23.51,282.12
201793,CRO Pure Live Resin Purple Lemon Haze Vape Cartridge Sativa 1 g - Lord Jones,FA01667,Vapes,Live Resin Carts,6.000,6.000,30.00,180.00
201582,MER Slappn' Berry Vape Cartridge Indica 1 g - LITTI,VP620962B,Vapes,510 Carts,12.000,12.000,18.89,226.68
201581,MER Gulupa Gulp Vape Cartridge Sativa 1 g - LITTI,VP620012A,Vapes,510 Carts,12.000,12.000,18.89,226.68
201291,MER Banaenae Vape Cartridge Hybrid 1 g - LITTI,VP617653A,Vapes,510 Carts,12.000,12.000,18.89,226.68
201916,SSC Tiger Berry Vape Cartridge Hybrid 1 g - Lamplighter,W07253121-1,Vapes,510 Carts,6.000,6.000,22.31,133.86
200248,TIL Pineapple Express Vape Cartridge Blend 1 g - Good Supply,3101733608,Vapes,510 Carts,12.000,12.000,22.40,268.80
200791,DEC Peach Ringz Vape Cartridge Sativa 0.95 g - General Admission,24070000841,Vapes,510 Carts,12.000,12.000,22.25,267.00
201239,AYC Berry n'Ice Vape Cartridge Hybrid 1 g - Fuego,PR240802B,Vapes,510 Carts,12.000,12.000,18.55,222.60
201617,CM Blue Sour Berry Liquid Diamond Vape Cartridge Hybrid 1 g - Zest,240160XZ01,Vapes,Liquid Diamond Carts,12.000,12.000,25.44,305.28
106676,TIL Sweet Berry Kush PR 14 x 0.5 g Indica 7 g - Good Supply,3101733909,Pre-Rolls,Joints,12.000,12.000,27.99,335.88
106156,MCM Wes' Coast Kush PR 3 x 0.5 g Indica 1.5 g - MTL Cannabis,206124F2801,Pre-Rolls,Joints,12.000,12.000,11.89,142.68
103889,TIL Redees Cold Creek Kush PR 10 x 0.4 g Sativa 4 g - Redecan,0871240718B,Pre-Rolls,Straight Roll Joints,30.000,30.000,14.69,440.70
101068,TIL THC Gems Indica 15 caps - Redecan,3101733266,Oils & Caps,Capsules & Soft Gels,24.000,24.000,8.40,201.60
700654,BZA Real Fruit Raspberry Gummies Sativa 2 Pack - Wyld,B00756,Edibles,Gummies,24.000,24.000,2.69,64.56
700658,BZA Real Fruit Peach 5:1 Gummies Hybrid 2 Pack - Wyld,B00747,Edibles,Gummies,24.000,24.000,2.69,64.56
700816,CRO Blueraspberry Lemonade THCv Gummies Sativa 5 Pack - Spinach Feelz,017689,Edibles,Gummies,24.000,24.000,3.21,77.04
700589,CRO Mango Lime Day Trip 1:3 Gummies Sativa 5 Pack - Spinach Feelz,017222,Edibles,Gummies,12.000,12.000,3.21,38.52
700167,CRO Strawberry Mango Gummies Sativa 5 Pack - Spinach,017687,Edibles,Gummies,12.000,12.000,3.21,38.52
701026,CRO Fully Blasted Pink Lemonade Gummies Sativa 1 Pack - Sourz,017890,Edibles,Gummies,48.000,48.000,1.81,86.88
700333,CRO Cherry Lime Gummies Hybrid 5 Pack - Spinach,017388,Edibles,Gummies,12.000,12.000,3.21,38.52
701039,IND Red Razzleberry CBG/CBD/THC Gummies Hybrid 17.5 g - Pearls by gron,PRR012,Edibles,Gummies,24.000,24.000,3.29,78.96
700788,IND The Purple One Sativa 1 Pack - No Future,PRP092,Edibles,Gummies,48.000,48.000,1.79,85.92
700792,IND The Green One Indica 1 Pack - No Future,GRN083,Edibles,Gummies,96.000,96.000,1.79,171.84
700968,AUR Strawberry Lemonade Glitch Sativa 1 Pack - Aurora Drift,0979299041146,Edibles,Gummies,72.000,72.000,1.79,128.88
701068,RUB Sour Peach Live Rosin Gummies Indica 2 Pack - 1964,PG240415103,Edibles,Gummies,12.000,12.000,4.48,53.76
701006,RUB Sour Grape Live Rosin Gummies Hybrid 2 Pack - 1964,PG240311061,Edibles,Gummies,12.000,12.000,4.48,53.76
800269,TRS Cream Soda Blend 355 ml - XMG,H0012671,Beverages,Beverages,36.000,36.000,4.35,156.60
291715,VAL BC Green CRK Sativa 1 g - Versus,VA200337.01,Concentrates,Shatter,12.000,12.000,21.69,260.28
291827,ADL Cheetah Stomper Shatter Indica 1 g - Endgame,P240715SH01,Concentrates,Shatter,12.000,12.000,20.99,251.88
